comparison_id,comparison_group,scope,workload_id,baseline_point,candidate_point,metric,baseline,candidate,delta,delta_percent,formula
c2b4_clock_gating_dc__bursty__dynamic_energy_per_byte_nj,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,bursty,c2b4_clock_gating_bursty_baseline,c2b4_clock_gating_bursty_candidate,dynamic_energy_per_byte_nj,0.071598181818,0.071054545455,-0.000543636364,-0.759287945352,dynamic=P_dynamic*1000000/throughput_Bps
c2b4_clock_gating_dc__saturated__area_total_um2,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,saturated,c2b4_clock_gating_saturated_baseline,c2b4_clock_gating_saturated_candidate,area_total_um2,946749.061998000000,946078.741998000000,-670.320000000000,-0.070802288263,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__saturated__area_combinational_um2,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,saturated,c2b4_clock_gating_saturated_baseline,c2b4_clock_gating_saturated_candidate,area_combinational_um2,429844.296002000000,429072.630002000000,-771.666000000000,-0.179522214713,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__saturated__area_sequential_um2,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,saturated,c2b4_clock_gating_saturated_baseline,c2b4_clock_gating_saturated_candidate,area_sequential_um2,516904.766000000000,517006.112000000000,101.346000000000,0.019606319513,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__saturated__cell_count,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,saturated,c2b4_clock_gating_saturated_baseline,c2b4_clock_gating_saturated_candidate,cell_count,472128.000000000000,470913.000000000000,-1215.000000000000,-0.257345465636,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__saturated__register_count,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,saturated,c2b4_clock_gating_saturated_baseline,c2b4_clock_gating_saturated_candidate,register_count,113741.000000000000,113753.000000000000,12.000000000000,0.010550285297,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__saturated__buffer_count,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,saturated,c2b4_clock_gating_saturated_baseline,c2b4_clock_gating_saturated_candidate,buffer_count,NA,NA,NA,NA,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__saturated__wns_ns,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,saturated,c2b4_clock_gating_saturated_baseline,c2b4_clock_gating_saturated_candidate,wns_ns,0.003361820000,0.005806680000,0.002444860000,72.724298148027,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__saturated__tns_ns,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,saturated,c2b4_clock_gating_saturated_baseline,c2b4_clock_gating_saturated_candidate,tns_ns,0.000000000000,0.000000000000,0.000000000000,NA,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__saturated__dynamic_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,saturated,c2b4_clock_gating_saturated_baseline,c2b4_clock_gating_saturated_candidate,dynamic_mw,391.210000000000,393.130000000000,1.920000000000,0.490785000383,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__saturated__clock_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,saturated,c2b4_clock_gating_saturated_baseline,c2b4_clock_gating_saturated_candidate,clock_mw,0.000000000000,0.135209000000,0.135209000000,NA,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__saturated__sequential_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,saturated,c2b4_clock_gating_saturated_baseline,c2b4_clock_gating_saturated_candidate,sequential_mw,382.240940800000,383.915673300000,1.674732500000,0.438135301911,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__saturated__combinational_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,saturated,c2b4_clock_gating_saturated_baseline,c2b4_clock_gating_saturated_candidate,combinational_mw,8.813800000000,8.484200000000,-0.329600000000,-3.739590188114,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__saturated__net_switching_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,saturated,c2b4_clock_gating_saturated_baseline,c2b4_clock_gating_saturated_candidate,net_switching_mw,7.210000000000,7.130000000000,-0.080000000000,-1.109570041609,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__saturated__leakage_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,saturated,c2b4_clock_gating_saturated_baseline,c2b4_clock_gating_saturated_candidate,leakage_mw,15.700000000000,15.700000000000,0.000000000000,0.000000000000,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__saturated__total_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,saturated,c2b4_clock_gating_saturated_baseline,c2b4_clock_gating_saturated_candidate,total_mw,407.000000000000,408.000000000000,1.000000000000,0.245700245700,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__saturated__throughput_bytes_per_s,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,saturated,c2b4_clock_gating_saturated_baseline,c2b4_clock_gating_saturated_candidate,throughput_bytes_per_s,6796875000.000000000000,6796875000.000000000000,0.000000000000,0.000000000000,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__saturated__clock_plus_sequential_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,saturated,c2b4_clock_gating_saturated_baseline,c2b4_clock_gating_saturated_candidate,clock_plus_sequential_mw,382.240940800000,384.050882300000,1.809941500000,0.473508017276,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__saturated__incremental_energy_per_byte_nj,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,saturated,c2b4_clock_gating_saturated_baseline,c2b4_clock_gating_saturated_candidate,incremental_energy_per_byte_nj,0.000294252874,0.000735632184,0.000441379310,150.000000000000,incremental=(P_workload-P_idle)*1000000/throughput_Bps
c2b4_clock_gating_dc__saturated__dynamic_energy_per_byte_nj,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,saturated,c2b4_clock_gating_saturated_baseline,c2b4_clock_gating_saturated_candidate,dynamic_energy_per_byte_nj,0.057557333333,0.057839816092,0.000282482759,0.490785000383,dynamic=P_dynamic*1000000/throughput_Bps
